plant_name,plant_code,energy_type,energy_generated_mw
2W Permian Solar Project Hybrid,63255,renewable_energy,942269
AES ILUMINA,61036,renewable_energy,35581
AES Lawai Solar Hybrid,61068,renewable_energy,33262
"ANSON Solar Center, LLC",64026,renewable_energy,476368
AV Solar Ranch One,57378,renewable_energy,606723
Adams Nielson Solar,61933,renewable_energy,34907
Agua Caliente Solar Project,57373,renewable_energy,726680
Airport Solar,62560,renewable_energy,116584
Aktina Solar,64927,renewable_energy,592769
Alamo 6,59206,renewable_energy,260456
Albemarle Beach Solar,64169,renewable_energy,209635
Allegheny Ridge Wind Farm,56451,renewable_energy,198840
Alta Luna,60258,renewable_energy,69611
Altavista Solar,64019,renewable_energy,167722
Amadeus Wind Farm,62142,renewable_energy,755831
American Falls Solar,60011,renewable_energy,40797
American Falls Solar II,60012,renewable_energy,43071
"American Kings Solar, LLC",60777,renewable_energy,279761
Anheuser-Busch #2,59331,renewable_energy,3191
Antares-GRE 314 East Lyme LLC,59495,renewable_energy,4030
Antelope DSR 1,60186,renewable_energy,128153
Antelope Expansion 2,61264,renewable_energy,262811
Antrim Wind,59953,renewable_energy,82787
Appaloosa Run Wind,65335,renewable_energy,19387
Apple Blossom Wind Farm,58690,renewable_energy,276978
Aquamarine,62547,renewable_energy,672616
Aragonne Wind LLC,56336,renewable_energy,691693
Aragorn Solar Project,63329,renewable_energy,405289
Arbor Hill Solar,64755,renewable_energy,36360
Arbor Hill Wind Farm,62132,renewable_energy,1344693
Arkwright Summit Wind Farm LLC,61673,renewable_energy,260569
Arlington Energy Center II,64481,renewable_energy,252115
Arlington Energy Center III,64564,renewable_energy,123770
"Armadillo Flats Wind Project, LLC",61926,renewable_energy,922828
Arrow Canyon Solar Hybrid,62248,renewable_energy,29326
Assembly Solar II LLC,63538,renewable_energy,226189
Assembly Solar III,64196,renewable_energy,151861
Assembly Solar Project,62422,renewable_energy,101458
Astra Wind Farm,60856,renewable_energy,547729
Atchison County Wind,63574,renewable_energy,997069
Athos Solar Project,63300,renewable_energy,440276
"Aulander Holloman Solar, LLC",62340,renewable_energy,194173
Aurora Wind Project,63258,renewable_energy,1185247
Avalon Hydropower,54801,renewable_energy,4747
Aviator Wind,63209,renewable_energy,1894869
Azure Sky Solar,63905,renewable_energy,579643
BMP Wind (TX),62809,renewable_energy,719597
"BT Cooke Solar, LLC",62773,renewable_energy,141964
Babcock Preserve,62634,renewable_energy,165982
Babcock Solar Energy Center Hybrid,59993,renewable_energy,155026
Badger Hollow I,62955,renewable_energy,197465
Balko Wind LLC,58900,renewable_energy,1064195
Balm Solar,61654,renewable_energy,126730
Barefoot Bay Solar Energy Center,61051,renewable_energy,160276
Battle Mountain Solar Project,61098,renewable_energy,270112
Baxley,64211,renewable_energy,60281
Bay Trail Solar Power Plant,64145,renewable_energy,18799
Bay Tree,63976,renewable_energy,156667
Bayville Central Facility,54569,renewable_energy,218
Beacon Solar Plant Site 2,59309,renewable_energy,128070
Beacon Solar Plant Site 5,59308,renewable_energy,102846
Bear Creek,65009,renewable_energy,12826
Bear Creek,50156,renewable_energy,12826
Bearkat,59972,renewable_energy,612967
Beaver Creek Wind,61079,renewable_energy,1483768
Bedford Solar,61126,renewable_energy,115644
Bedford Solar,65323,renewable_energy,115644
Beech Ridge Energy LLC,57151,renewable_energy,243742
Beech Ridge II Wind Energy Center,62482,renewable_energy,171577
Belden,219,renewable_energy,174359
Bennett Creek Windfarm LLC - Mountain Home,56637,renewable_energy,32875
Bennington Wind,63384,renewable_energy,341067
Berkshire Wind Power Project,57721,renewable_energy,42259
Bethel Wind Farm LLC,60414,renewable_energy,1161702
Big Bend,645,renewable_energy,28943
Big Bend II Solar,64641,renewable_energy,52284
Big Creek 2A,322,renewable_energy,209407
Big Creek 3,319,renewable_energy,572734
Big Creek 4,320,renewable_energy,254750
Big Creek Water Works,10282,renewable_energy,3955
Big Horn Wind II,57319,renewable_energy,110462
Big Horn Wind Project,56361,renewable_energy,465828
Big Level Wind,60551,renewable_energy,302236
Big River Solar,64637,renewable_energy,132796
Big Timber Wind Farm,61155,renewable_energy,89477
"BigBeau Solar, LLC",64993,renewable_energy,358508
Bighorn Solar 1,63770,renewable_energy,588546
Biglow Canyon Wind Farm,56485,renewable_energy,765435
Bingham Wind,57531,renewable_energy,515546
Bishop Hill III,61787,renewable_energy,470871
Bison Solar LLC,60351,renewable_energy,66073
"Bitter Ridge Wind Farm, LLC",63666,renewable_energy,430644
"Black Eagle Solar, LLC",61336,renewable_energy,5306
Black Oak Wind Farm,58692,renewable_energy,333060
Black Rock Wind,64433,renewable_energy,267036
Blackstone/Tupperware,50177,renewable_energy,3109
Bladen Solar,61561,renewable_energy,103571
Blazing Star 2 Wind Farm,61650,renewable_energy,894526
Blazing Star Wind Farm 1,60504,renewable_energy,913721
Block Island Wind Farm,58035,renewable_energy,111195
Bloom Wind,59888,renewable_energy,685446
Blooming Grove Wind Energy Center,63988,renewable_energy,1001258
Blue Cloud Wind Energy LLC,60270,renewable_energy,556236
Blue Creek Wind Project,57449,renewable_energy,859532
Blue Cypress Solar Energy Center,61029,renewable_energy,149972
Blue Heron Solar,62631,renewable_energy,162994
Blue Sky Green Field Wind Project,56391,renewable_energy,319157
Blue Springs,64757,renewable_energy,150617
"Blue Summit II Wind, LLC",61970,renewable_energy,394762
Blue Summit III Wind,62566,renewable_energy,833311
Bluebell Solar,60789,renewable_energy,72912
Bluebell Solar II,63351,renewable_energy,274754
Bluegrass Ridge,56555,renewable_energy,120817
Bluegrass Solar,63910,renewable_energy,17982
Bluestem,60256,renewable_energy,812186
Bluestone Solar,62950,renewable_energy,85490
Bluff Point Wind Facility,61303,renewable_energy,421655
Blythe Mesa Solar II,65053,renewable_energy,32798
"Blythe Solar II, LLC",60092,renewable_energy,349327
"Blythe Solar III, LLC Hybrid",60094,renewable_energy,322627
"Blythe Solar IV, LLC",60095,renewable_energy,356589
Boiling Springs Wind Farm,62871,renewable_energy,650469
Bonneville,3075,renewable_energy,4681188
Bonnie Mine Solar,61655,renewable_energy,60848
Borden Solar Farm,59531,renewable_energy,117076
Bordentown Solar,60734,renewable_energy,6501
"Borderlands Wind, LLC",64638,renewable_energy,237568
"Boulder Solar II, LLC",60885,renewable_energy,130085
"Boulder Solar Power, LLC",60352,renewable_energy,267671
Boundary,6433,renewable_energy,3706219
Brady II Wind Energy Center,60354,renewable_energy,681369
Brantley Solar,60623,renewable_energy,101380
Brazoria County Solar Project (Danciger),66046,renewable_energy,39697
Brazoria West,64447,renewable_energy,128093
Briar Creek Solar 1,63769,renewable_energy,297247
Bright Stalk Wind Farm I,57623,renewable_energy,794989
Brightside,63223,renewable_energy,67680
Britton Solar Energy Center,63579,renewable_energy,138149
"Broad River Solar, LLC",62822,renewable_energy,115613
"Broadview Energy JN, LLC",60145,renewable_energy,695892
"Broadview Energy KW, LLC",60152,renewable_energy,552363
"Bronco Plains Wind, LLC",63803,renewable_energy,1135136
Brookfield,58719,renewable_energy,263346
Brookfield Power Glen Falls Hydro,56936,renewable_energy,33556
Bruennings Breeze Wind Farm,59066,renewable_energy,587469
Buckeye Wind Energy Center,58767,renewable_energy,789592
Buckleberry Solar,61693,renewable_energy,100489
Buckthorn Westex,60044,renewable_energy,336539
Buckthorn Wind,60983,renewable_energy,355716
Buffalo Dunes Wind Project,58474,renewable_energy,967997
Buffalo Gap 2 Wind Farm,56484,renewable_energy,404206
Buffalo Ridge I LLC,56792,renewable_energy,90881
Buffalo Ridge II LLC,57424,renewable_energy,353592
Buffalo Ridge Wind,65761,renewable_energy,16195
"Bullock Solar, LLC",61512,renewable_energy,104610
"Burke Wind, LLC",61100,renewable_energy,871594
Busch Ranch II Wind Farm,62445,renewable_energy,190821
Butler Ridge,56647,renewable_energy,153582
Butler Solar Power Project,58959,renewable_energy,4287
Butler Solar Project 103,59896,renewable_energy,219658
"CA Flats Solar 130, LLC",60033,renewable_energy,296411
"CA Flats Solar 150, LLC",60034,renewable_energy,344020
CED Crane Solar,63519,renewable_energy,433400
CED Foster,61499,renewable_energy,3356
CSUF Trigeneration,58169,renewable_energy,7488
Cabin Creek,467,renewable_energy,84265
Cactus Flats Wind Energy Project,61001,renewable_energy,433553
Caddo Wind,64047,renewable_energy,1010872
Caden Energix Hickory LLC,63084,renewable_energy,56251
Calhoun Solar,64856,renewable_energy,176
California Ridge Wind Energy LLC,58008,renewable_energy,810677
Calistoga Power Plant,50066,renewable_energy,535772
Cameron Solar,61489,renewable_energy,44715
Camilla Solar Energy Project,61785,renewable_energy,372529
Camino,430,renewable_energy,211359
Campbell Hill Windpower,57090,renewable_energy,317726
"Canadian Breaks, LLC",63030,renewable_energy,872533
Canadian Hills Wind,57987,renewable_energy,659276
Caney River Wind Project,57858,renewable_energy,754083
Cape Cod Air Force Station - 6 SWS,58661,renewable_energy,8246
Capricorn Ridge Wind LLC,56763,renewable_energy,1944720
Caprock Solar 1 LLC,59251,renewable_energy,68039
Cardinal Point Wind,59902,renewable_energy,619673
Caribou 2,223,renewable_energy,283724
Carter Hydro,58622,renewable_energy,10155
Carters,6130,renewable_energy,72846
Casa Mesa Wind Energy Center Hybrid,61925,renewable_energy,165048
Cassadaga Wind Farm,58777,renewable_energy,267686
Cassia Gulch,56935,renewable_energy,37631
Cassia Wind,56934,renewable_energy,17563
Castaic,392,renewable_energy,139365
Castle Gap Solar Hybrid,60123,renewable_energy,458552
Cattle Ranch,62632,renewable_energy,147633
Cedar Creek II,57210,renewable_energy,420163
Cedar Creek Wind,56371,renewable_energy,644565
Cedar Point Wind,57315,renewable_energy,494740
Cedar Springs I,63914,renewable_energy,821141
Cedar Springs II,63915,renewable_energy,603521
Cedar Springs III,63916,renewable_energy,568235
"Centerfield Cooper Solar, LLC",63810,renewable_energy,154458
Central 40,63940,renewable_energy,87976
"Central Line Solar, LLC",64566,renewable_energy,218802
Cerro Gordo Wind Farm,63287,renewable_energy,200300
Charlie Creek Solar Power Plant,63982,renewable_energy,55036
"Chaves Solar, LLC",60405,renewable_energy,162692
Cherokee Falls,10173,renewable_energy,2319
Chester Diversion Hydroelectric Project,56893,renewable_energy,5636
Chestnut Solar,61011,renewable_energy,137367
Chevron - Lost Hills Hybrid,63545,renewable_energy,74367
Cheyenne Ridge Wind Farm,62952,renewable_energy,1954636
Chicot Solar,63295,renewable_energy,242321
Chief Joseph,3921,renewable_energy,12476970
Chisholm View Wind Project,58041,renewable_energy,1082469
Church Hill,60737,renewable_energy,9666
Cimarron Bend III,64074,renewable_energy,818603
"Cimarron Bend Wind Project I, LLC",60687,renewable_energy,896411
"Cimarron Bend Wind Project II, LLC",60688,renewable_energy,869749
Cimarron Wind Energy LLC,57762,renewable_energy,603138
Citizens Imperial Solar,62052,renewable_energy,71943
Citrus Ridge Solar,61988,renewable_energy,85171
Citrus Solar Energy Center Hybrid,60061,renewable_energy,153526
Clarence Cannon,6140,renewable_energy,141700
Clear Creek Wind,63025,renewable_energy,653643
Clearwater Wind I,65577,renewable_energy,212170
Clines Corners Wind Farm LLC,64054,renewable_energy,1011778
Cloud County Wind Farm,56784,renewable_energy,386446
Clover Creek Solar Community Solar,63061,renewable_energy,206991
Clyde Solar Array,60923,renewable_energy,4385
Coachella Hills Wind,64323,renewable_energy,173182
Coastal Virginia Offshore Wind (CVOW) pilot project,59693,renewable_energy,50852
"Colbeck's Corner, LLC",59068,renewable_energy,866893
Colgate,454,renewable_energy,619846
Colgreen North Shore Solar Farm,60825,renewable_energy,161053
Collierville Powerhouse,54555,renewable_energy,264158
Colonial Trail West,61985,renewable_energy,275029
Columbia Solar Power Plant,61982,renewable_energy,176925
Comanche Solar,59656,renewable_energy,231609
Conception,56537,renewable_energy,114043
"Concho Valley Solar, LLC",65793,renewable_energy,93922
Coniglio Solar,62772,renewable_energy,258704
Conowingo,1574,renewable_energy,1756565
Contrail Wind Farm,63639,renewable_energy,363540
Cool Springs Solar (Hybrid),63721,renewable_energy,493876
"Coolidge Solar 1, LLC",61959,renewable_energy,29594
Copenhagen Wind Farm,58979,renewable_energy,262292
Copper Mountain Solar 3,58915,renewable_energy,617106
"Copper Mountain Solar 5, LLC",63504,renewable_energy,670745
Coral Farms Solar Energy Center,61022,renewable_energy,145815
Corazon Energy LLC,64538,renewable_energy,347757
Cornell Hydro,10286,renewable_energy,4821
Corriedale Wind Energy,63436,renewable_energy,241680
Coso Finance Partners,10873,renewable_energy,451651
Coso Power Developers,10874,renewable_energy,386020
Cottage Street Solar Facility,58568,renewable_energy,5129
Cotton Creek Solar Energy Center,65036,renewable_energy,147886
Cotton Plains Wind Farm,60210,renewable_energy,187373
Cottonwood Wind Energy Center,61407,renewable_energy,437925
Courtenay Wind Farm,58658,renewable_energy,815987
Cove Mountain Solar,62469,renewable_energy,161570
Cove Mountain Solar 2,62470,renewable_energy,331287
Cow Branch,56536,renewable_energy,111155
Coyote Ridge,61047,renewable_energy,398316
Coyote Wind LLC,63655,renewable_energy,640017
Cranell Wind Farm LLC,62416,renewable_energy,591973
Crayola Solar Project,57216,renewable_energy,2794
Crescent Dunes Solar Energy,57275,renewable_energy,100666
Crescent Wind Park,63686,renewable_energy,392020
Criterion,57300,renewable_energy,169369
Crocker Wind Farm,60505,renewable_energy,856561
Crooked Run,62678,renewable_energy,142759
Crossing Trails Wind Power Project LLC.,62489,renewable_energy,419124
Crossroads Wind Farm,57332,renewable_energy,371759
Crowned Ridge Wind Energy Center,60503,renewable_energy,764656
Crowned Ridge Wind II Energy Center,63269,renewable_energy,883145
Crystal Lake 3 LLC,57468,renewable_energy,262684
"Cuyama Solar, LLC",60043,renewable_energy,86035
Cyril,61614,renewable_energy,8927
DWW Solar ll,62657,renewable_energy,51232
Dakota Range III Wind Project,63102,renewable_energy,522883
Day County Wind LLC,57194,renewable_energy,444179
Debary Solar Power Plant,62542,renewable_energy,140763
Deer Creek PV,59855,renewable_energy,3064
Deer Island Treatment Plant,10823,renewable_energy,7166
"Deerfield Wind Energy, LLC",60883,renewable_energy,556070
Deerfield Wind LLC,61039,renewable_energy,104462
Degray,187,renewable_energy,124630
Demille Solar Farm,60346,renewable_energy,37964
Denison Solar Array,61637,renewable_energy,2262
Dept of Corrections NCCI Wind,58992,renewable_energy,6754
Dermott Wind,60902,renewable_energy,946187
Desert Harvest II LLC,64103,renewable_energy,193805
"Desert Harvest, LLC",62177,renewable_energy,221040
"Desert Wind Farm, LLC",59968,renewable_energy,536783
Desper Solar,62730,renewable_energy,172690
Deuel Harvest Wind Energy LLC,62943,renewable_energy,1148393
Devil Canyon,436,renewable_energy,119086
"Diamond Spring, LLC",63327,renewable_energy,1031805
Diamond Trail Wind Farm,63641,renewable_energy,957953
"Diamond Vista Wind Project, LLC",61789,renewable_energy,1224092
Dickinson Solar,62946,renewable_energy,4608
Dion R Holm,380,renewable_energy,494658
Discovery Solar Center,63109,renewable_energy,149823
Dixie Valley,52015,renewable_energy,426483
Dodge Flat,63913,renewable_energy,451869
Domino Farms Solar,60017,renewable_energy,1378
Don Pedro,439,renewable_energy,165510
"Dougherty County Solar, LLC",62375,renewable_energy,288318
Dover Sun Park,57337,renewable_energy,16578
Downsville DPC Solar,60892,renewable_energy,1607
"Dressor Plains Solar, LLC",64224,renewable_energy,233897
Drew Solar LLC,63127,renewable_energy,40017
Drift Sand Wind Project LLC,59065,renewable_energy,449005
Dry Lake Wind LLC,57098,renewable_energy,111458
Duette Solar Power Plant,63978,renewable_energy,159777
Dundas Solar Holdings LLC CSG,61626,renewable_energy,7208
Duran Mesa LLC,64065,renewable_energy,310598
Durrance,63495,renewable_energy,99114
E W Brown,1355,renewable_energy,17042
EE Waianae Solar Project,61172,renewable_energy,65004
ENGIE Long Draw Solar LLC,62845,renewable_energy,540447
ENGIE Solidago Solar Project - Hybrid,65304,renewable_energy,904
Eagle Pass,3437,renewable_energy,44169
Eagle Shadow Mountain Solar Farm,61852,renewable_energy,729571
East Blackland Solar Project 1,57659,renewable_energy,320142
"East Fork Wind Project, LLC",62220,renewable_energy,815802
East Line Solar,62899,renewable_energy,207352
East Pecos Solar,60436,renewable_energy,275630
"Eastern Shore Solar, LLC",60127,renewable_energy,150581
Echo River Solar,62490,renewable_energy,175987
Echo Wind Park,58121,renewable_energy,409220
Eclipse Wind Farm,57873,renewable_energy,694378
Edward C Hyatt,437,renewable_energy,929250
Edwards Sanborn E1A,64878,renewable_energy,58888
Edwards Sanborn E1B,65674,renewable_energy,16348
Edwards Sanborn E2,64879,renewable_energy,346209
Edwards Sanborn E3,64877,renewable_energy,60526
Edwards Sanborn E4,65675,renewable_energy,7314
Edwards Sanborn E5,65676,renewable_energy,1706
Edwards Sanborn S1,64929,renewable_energy,94005
Edwards Sanborn S3,64928,renewable_energy,80225
Edwards Sanborn S4,65677,renewable_energy,10129
Egret Solar Center,62925,renewable_energy,157098
Ekola Flats,62591,renewable_energy,805728
"El Algodon Alto Wind Farm, LLC",64591,renewable_energy,404407
El Cabo Wind,58098,renewable_energy,1063330
El Campo Wind,62765,renewable_energy,862078
Elara Solar,64204,renewable_energy,331686
Elder Branch,65041,renewable_energy,183026
Electra,239,renewable_energy,332444
Elevation Solar C,59964,renewable_energy,108811
Elk City LLC,57346,renewable_energy,636204
Elm Branch Solar 1,63764,renewable_energy,309069
Elora Solar,63719,renewable_energy,307891
Emerald Grove,63233,renewable_energy,135415
Emmitsburg Solar Arrays,60849,renewable_energy,2678
"Emmons-Logan Wind, LLC",62380,renewable_energy,815200
Encino Solar Energy Center,63860,renewable_energy,143202
English Farms,61565,renewable_energy,611687
