plant_name,plant_code,region,state,fuel_types,primary_technology
0 Hammond St CSG,64876,New England,MA,"MWH, SUN",Multiple
115 G Fisher,65092,New England,MA,SUN,Solar Photovoltaic
126 Grove Solar LLC,60858,New England,MA,SUN,Solar Photovoltaic
154 D Fisher,65093,New England,MA,SUN,Solar Photovoltaic
160 Tihonet Rd Hybrid(CSG),65056,New England,MA,"MWH, SUN",Multiple
196 Tremont St(CSG),65114,New England,MA,"MWH, SUN",Multiple
201 Sturbridge B,59822,New England,MA,SUN,Solar Photovoltaic
205 Sturbridge A,59821,New England,MA,SUN,Solar Photovoltaic
"265 Pleasant Solar NG, LLC",59485,New England,MA,SUN,Solar Photovoltaic
276 Federal Rd(CSG),64875,New England,MA,"MWH, SUN",Multiple
28 Livermore Hill Road Solar,64014,New England,MA,SUN,Solar Photovoltaic
299 Farm to Market Rd Hybrid(CSG),65057,New England,MA,"MWH, SUN",Multiple
301 Chestnut Solar NG,61518,New England,MA,SUN,Solar Photovoltaic
"433 Purchase Solar NG, LLC",61237,New England,MA,SUN,Solar Photovoltaic
580 River Solar,65085,New England,MA,SUN,Solar Photovoltaic
59 Federal Rd(CSG),64970,New England,MA,"MWH, SUN",Multiple
"631-56 Airport Owner, LLC",59639,New England,MA,WND,Onshore Wind Turbine
651 Chase Solar NG,59046,New England,MA,SUN,Solar Photovoltaic
71 Charlotte Furnace Rd Hybrid(CSG),65054,New England,MA,"MWH, SUN",Multiple
77 Farm to Market Rd Hybrid(CSG),65055,New England,MA,"MWH, SUN",Multiple
AIS Solar Project,60986,New England,MA,SUN,Solar Photovoltaic
ANP Bellingham Energy Project,55211,New England,MA,NG,Natural Gas Fired Combined Cycle
ANP Blackstone Energy Project,55212,New England,MA,NG,Natural Gas Fired Combined Cycle
ASD Wallum MA Solar LLC(CSG),65015,New England,MA,"MWH, SUN",Multiple
Acton Solar Landfill,59543,New England,MA,SUN,Solar Photovoltaic
Acushnet AD Makepeace,58270,New England,MA,SUN,Solar Photovoltaic
Acushnet Ball Plant 2,62835,New England,MA,MWH,Batteries
Acushnet Hawes Reed Road,58271,New England,MA,SUN,Solar Photovoltaic
Acushnet- High Hill,59128,New England,MA,SUN,Solar Photovoltaic
Acushnet-Braley Road 1,59121,New England,MA,SUN,Solar Photovoltaic
Adams Farm Solar,59775,New England,MA,SUN,Solar Photovoltaic
Adirondack A+B Community Solar Garden,64588,New England,MA,SUN,Solar Photovoltaic
Agawam Solar,59028,New England,MA,SUN,Solar Photovoltaic
"Ajax Solar, LLC (MA)",62827,New England,MA,SUN,Solar Photovoltaic
Alicea Solar Project Hybrid CSG,63469,New England,MA,"MWH, SUN",Multiple
Amaterasu LLC,64000,New England,MA,"MWH, SUN",Multiple
Ameresco Chicopee Energy,56426,New England,MA,LFG,Landfill Gas
Amherst College Co Gen,58185,New England,MA,NG,Natural Gas Fired Combustion Turbine
Annese Solar Project Hybrid CSG,63474,New England,MA,"MWH, SUN",Multiple
Antanavica Solar,61526,New England,MA,SUN,Solar Photovoltaic
Ashburnham Energy Storage Project,62219,New England,MA,MWH,Batteries
Ashby Duffy CSG Solar Farm,61399,New England,MA,SUN,Solar Photovoltaic
"Ashby Solar, LLC CSG",62199,New England,MA,SUN,Solar Photovoltaic
Auburn Solar Project,64213,New England,MA,"MWH, SUN",Multiple
Axio Green LLC,58702,New England,MA,SUN,Solar Photovoltaic
Ayers Village Solar,59463,New England,MA,SUN,Solar Photovoltaic
"BJ's Wholesale Club, Inc- Uxbridge",60116,New England,MA,SUN,Solar Photovoltaic
BWC Gibbs Brook,62369,New England,MA,SUN,Solar Photovoltaic
BWC Harlow Brook,62371,New England,MA,SUN,Solar Photovoltaic
"BWC Lake Lashaway, LLC Hybrid",64182,New England,MA,"MWH, SUN",Multiple
"BWC Muddy Brook, LLC Hybrid",64170,New England,MA,"MWH, SUN",Multiple
BWC Origination 18,62368,New England,MA,SUN,Solar Photovoltaic
BWC Pocasset River,62372,New England,MA,SUN,Solar Photovoltaic
"BWC Stony Brook, LLC Hybrid",64140,New England,MA,"MWH, SUN",Multiple
BWC Swan Pond River CSG,60067,New England,MA,SUN,Solar Photovoltaic
